Country,Confirmed_Cases,Deaths,Recovered,Month
Haiti,81.0,8.0,10.0,05/02/2020
Austria,15597.0,598.0,13228.0,05/03/2020
Madagascar,149.0,0.0,98.0,05/03/2020
Italy,211938.0,29079.0,82879.0,05/04/2020
Slovakia,1413.0,25.0,643.0,05/04/2020
Somalia,873.0,39.0,87.0,05/06/2020
Qatar,18890.0,12.0,2286.0,05/07/2020
Burma,177.0,6.0,67.0,05/08/2020
Israel,16340.0,248.0,11318.0,05/08/2020
Bhutan,7.0,0.0,5.0,05/09/2020
Sudan,1111.0,64.0,119.0,05/09/2020
Ethiopia,239.0,5.0,99.0,05/10/2020
Saint Vincent and the Grenadines,17.0,0.0,9.0,05/10/2020
Bahrain,5531.0,9.0,2192.0,05/12/2020
Barbados,85.0,7.0,65.0,05/13/2020
Estonia,1774.0,63.0,938.0,05/17/2020
Congo (Brazzaville),412.0,15.0,110.0,05/18/2020
Guinea,2796.0,16.0,1263.0,05/18/2020
Rwanda,297.0,0.0,203.0,05/18/2020
Syria,58.0,3.0,36.0,05/18/2020
Timor-Leste,24.0,0.0,24.0,05/18/2020
Peru,104020.0,3024.0,41968.0,05/20/2020
Vietnam,324.0,0.0,266.0,05/21/2020
San Marino,661.0,41.0,254.0,05/22/2020
Kyrgyzstan,756.0,8.0,504.0,05/01/2020
Luxembourg,49438.0,562.0,46656.0,01/22/2021
Azerbaijan,228688.0,3072.0,219724.0,01/23/2021
Guinea-Bissau,2510.0,45.0,2405.0,01/23/2021
Mozambique,31628.0,297.0,20002.0,01/23/2021
Congo (Kinshasa),21869.0,661.0,14905.0,01/24/2021
Switzerland,515483.0,9204.0,317600.0,01/26/2021
Uganda,39261.0,318.0,14051.0,01/26/2021
Austria,408781.0,7564.0,386351.0,01/27/2021
Bolivia,210726.0,10226.0,155722.0,01/28/2021
Somalia,4784.0,130.0,3666.0,01/31/2021
Thailand,19618.0,77.0,12514.0,01/31/2021
Bahrain,103582.0,376.0,99000.0,02/01/2021
Belize,11957.0,303.0,11378.0,02/02/2021
MS Zaandam,9.0,2.0,7.0,02/03/2021
Antigua and Barbuda,277.0,7.0,183.0,02/05/2021
Ireland,201763.0,3621.0,23364.0,02/05/2021
Algeria,109088.0,2914.0,74692.0,02/07/2021
Brazil,9524640.0,231534.0,8478818.0,02/08/2021
Saudi Arabia,371720.0,6420.0,362642.0,02/11/2021
Portugal,784079.0,15183.0,661525.0,02/13/2021
Afghanistan,55514.0,2427.0,48433.0,02/15/2021
Barbados,2268.0,24.0,1639.0,02/15/2021
Mongolia,2416.0,2.0,1760.0,02/15/2021
Nicaragua,6347.0,171.0,4225.0,02/15/2021
Ukraine,1319060.0,25702.0,1156626.0,02/15/2021
Serbia,424020.0,4261.0,0.0,02/16/2021
Oman,138206.0,1549.0,129752.0,02/17/2021
Niger,4718.0,170.0,4215.0,02/18/2021
Ukraine,1340054.0,26320.0,1180915.0,02/19/2021
Angola,20499.0,498.0,19005.0,02/20/2021
Guinea-Bissau,3091.0,46.0,2500.0,02/20/2021
Uruguay,52815.0,574.0,46265.0,02/21/2021
Somalia,6246.0,208.0,3778.0,02/22/2021
Suriname,8869.0,169.0,8349.0,02/22/2021
Burma,141783.0,3197.0,131358.0,02/23/2021
Iceland,6049.0,29.0,6003.0,02/23/2021
Chile,805317.0,20151.0,763904.0,02/23/2021
Israel,763756.0,5660.0,717695.0,02/24/2021
Kazakhstan,261244.0,3160.0,237601.0,02/26/2021
Dominican Republic,239009.0,3093.0,190295.0,02/27/2021
France,3795687.0,86458.0,261649.0,02/27/2021
Mozambique,59914.0,665.0,42797.0,03/02/2021
Argentina,2133963.0,52644.0,1928377.0,03/04/2021
Armenia,173749.0,3215.0,164463.0,03/05/2021
Guatemala,178770.0,6479.0,165315.0,03/08/2021
Luxembourg,56677.0,663.0,53240.0,03/08/2021
Peru,1380023.0,48163.0,1288067.0,03/10/2021
Taiwan,984.0,10.0,942.0,03/13/2021
Dominica,156.0,0.0,141.0,03/14/2021
Costa Rica,209093.0,2862.0,188967.0,03/15/2021
Ghana,88421.0,705.0,84095.0,03/17/2021
Mauritania,17542.0,445.0,16839.0,03/18/2021
Brazil,1.178082E7,287499.0,1.0383496E7,03/18/2021
Qatar,172697.0,271.0,159787.0,03/19/2021
Niger,4918.0,185.0,4538.0,03/20/2021
Iceland,6097.0,29.0,6033.0,03/21/2021
Jordan,535455.0,5876.0,434167.0,03/21/2021
Greece,238830.0,7531.0,93764.0,03/22/2021
Papua New Guinea,4109.0,39.0,846.0,03/24/2021
Czech Republic,1495361.0,25450.0,1295205.0,03/25/2021
Ghana,90287.0,740.0,87137.0,03/26/2021
Taiwan,1020.0,10.0,978.0,03/27/2021
Jordan,589316.0,6554.0,485507.0,03/28/2021
Latvia,101207.0,1883.0,92190.0,03/29/2021
